Gene name	BGC ID	BGC product	Domain name	E-value	Bitscore	Start	End
HEX5265107.1 lasso peptide biosynthesis B2 protein [Phenylobacterium sp.]	N\A	N\A	Lasso_Fused_RRE	1.7e-07	27.8	3	63
WP_354039918.1 MULTISPECIES: lasso peptide biosynthesis B2 protein [unclassified Brevundimonas]	N\A	N\A	Lasso_Fused_RRE	2.8999999999999996e-14	49.5	1	68
WP_052505863.1 lasso peptide biosynthesis B2 protein [Novosphingobium sp. P6W]	N\A	N\A	Lasso_Fused_RRE	5.3e-10	35.8	1	62
WP_269540418.1 lasso peptide biosynthesis B2 protein [Escherichia coli]	N\A	N\A	Lasso_Fused_RRE	5e-13	45.5	4	65
WP_305758227.1 lasso peptide biosynthesis B2 protein [Brevundimonas sp.]	N\A	N\A	Lasso_Fused_RRE	2.6e-08	30.4	4	65
WP_409648876.1 lasso peptide biosynthesis B2 protein [Asticcacaulis sp.]	N\A	N\A	Lasso_Fused_RRE	5.7e-11	38.9	1	64
WP_134581272.1 MULTISPECIES: lasso peptide biosynthesis B2 protein [Brevundimonas]	N\A	N\A	Lasso_Fused_RRE	2.6e-11	40.1	1	67
WP_278986069.1 lasso peptide biosynthesis B2 protein [Sphingobium yanoikuyae]	N\A	N\A	Lasso_Fused_RRE	3.0000000000000004e-08	30.2	2	57
MEQ1818924.1 lasso peptide biosynthesis B2 protein [Terricaulis sp.]	N\A	N\A	Lasso_Fused_RRE	3.9e-08	29.9	7	66
MEI9850135.1 lasso peptide biosynthesis B2 protein [Sphingomonas sp.]	N\A	N\A	Lasso_Fused_RRE	1.4e-15	53.7	1	66
MGE0742295.1 lasso peptide biosynthesis B2 protein [Hyphomonadaceae bacterium]	N\A	N\A	Lasso_Fused_RRE	2e-11	40.4	1	67
WP_250752530.1 lasso peptide biosynthesis B2 protein [Sphingomonas donggukensis]	N\A	N\A	Lasso_Fused_RRE	5.2e-09	32.7	3	65
WP_288757345.1 lasso peptide biosynthesis B2 protein [uncultured Brevundimonas sp.]	N\A	N\A	Lasso_Fused_RRE	7.6e-11	38.5	2	66
WP_052130006.1 lasso peptide biosynthesis B2 protein [Sphingomonas sp. 35-24ZXX]	N\A	N\A	Lasso_Fused_RRE	5.1e-12	42.3	1	66
WP_167755641.1 lasso peptide biosynthesis B2 protein [Vitreimonas flagellata]	N\A	N\A	Lasso_Fused_RRE	1.6e-08	31.1	19	81
MBO0798360.1 lasso peptide biosynthesis B2 protein [Blastocatellia bacterium]	N\A	N\A	Stand_Alone_Lasso_RRE	4.7e-07	26.3	2	55
WP_082657704.1 MULTISPECIES: lasso peptide biosynthesis B2 protein [unclassified Sphingopyxis]	N\A	N\A	Lasso_Fused_RRE	5e-08	29.5	5	62
WP_293363136.1 lasso peptide biosynthesis B2 protein [Phenylobacterium sp.]	N\A	N\A	Lasso_Fused_RRE	1.4e-08	31.3	2	58
WP_120221857.1 lasso peptide biosynthesis B2 protein [Sphingopyxis sp. FD7]	N\A	N\A	Lasso_Fused_RRE	1.2000000000000001e-17	60.4	1	68
WP_423304536.1 lasso peptide biosynthesis B2 protein [Caulobacter sp. KR2-114]	N\A	N\A	Lasso_Fused_RRE	2.7999999999999998e-12	43.1	1	67
MBD3831738.1 lasso peptide biosynthesis B2 protein [Brevundimonas sp.]	N\A	N\A	Lasso_Fused_RRE	1.1000000000000001e-10	38.0	2	58
WP_188515270.1 lasso peptide biosynthesis B2 protein [Blastomonas aquatica]	N\A	N\A	Lasso_Fused_RRE	1.3e-11	41.0	1	65
MDP3677002.1 hypothetical protein [Novosphingobium sp.]	N\A	N\A	Lasso_Fused_RRE	1.1000000000000002e-17	60.5	1	64
MDO9439387.1 lasso peptide biosynthesis B2 protein [Beijerinckiaceae bacterium]	N\A	N\A	Lasso_Fused_RRE	1.6000000000000003e-09	34.3	4	64
WP_066725710.1 lasso peptide biosynthesis B2 protein [Sphingomonas pituitosa]	N\A	N\A	Lasso_Fused_RRE	1.3000000000000002e-10	37.8	6	59
WP_168048004.1 lasso peptide biosynthesis B2 protein [Brevundimonas alba]	N\A	N\A	Lasso_Fused_RRE	5.1e-10	35.9	1	66
WP_069319548.1 MULTISPECIES: lasso peptide biosynthesis B2 protein [Sphingomonas]	N\A	N\A	Lasso_Fused_RRE	3.7e-11	39.5	2	65
WP_309995214.1 lasso peptide biosynthesis B2 protein [Caulobacter segnis]	N\A	N\A	Lasso_Fused_RRE	5.7e-13	45.4	1	65
WP_305639879.1 lasso peptide biosynthesis B2 protein [Brevundimonas sp.]	N\A	N\A	Lasso_Fused_RRE	1.1000000000000001e-13	47.6	5	67
WP_284458436.1 lasso peptide biosynthesis B2 protein [Blastomonas fulva]	N\A	N\A	Lasso_Fused_RRE	4.2000000000000003e-13	45.8	1	63
WP_303705215.1 lasso peptide biosynthesis B2 protein [Brevundimonas sp. LF-1]	N\A	N\A	Lasso_Fused_RRE	9.9e-11	38.2	5	59
WP_394502594.1 lasso peptide biosynthesis PqqD family chaperone [Nonomuraea sp. JJY05]	N\A	N\A	Stand_Alone_Lasso_RRE	2.2000000000000002e-13	46.7	2	75
WP_295708764.1 lasso peptide biosynthesis B2 protein [uncultured Brevundimonas sp.]	N\A	N\A	Lasso_Fused_RRE	1.3e-07	28.2	5	66
WP_253108852.1 lasso peptide biosynthesis B2 protein [Brevundimonas diminuta]	N\A	N\A	Lasso_Fused_RRE	1.6e-11	40.7	4	61
WP_174837095.1 lasso peptide biosynthesis B2 protein [Sphingomonas sp. CL5.1]	N\A	N\A	Lasso_Fused_RRE	1.3e-08	31.4	1	62
WP_336952470.1 lasso peptide biosynthesis B2 protein [Sphingobium aromaticivastans]	N\A	N\A	Lasso_Fused_RRE	3.7999999999999996e-16	55.5	1	66
WP_299006407.1 lasso peptide biosynthesis B2 protein [uncultured Caulobacter sp.]	N\A	N\A	Lasso_Fused_RRE	4.7e-10	36.0	1	64
WP_326914645.1 lasso peptide biosynthesis B2 protein [Sphingopyxis chilensis]	N\A	N\A	Stand_Alone_Lasso_RRE	8e-07	25.6	1	68
WP_326914645.1 lasso peptide biosynthesis B2 protein [Sphingopyxis chilensis]	N\A	N\A	Lasso_Fused_RRE	4.5e-12	42.5	1	63
WP_219897088.1 lasso peptide biosynthesis B2 protein [Brevundimonas sp. PAMC22021]	N\A	N\A	Lasso_Fused_RRE	8.5e-09	32.0	1	63
WP_292176472.1 lasso peptide biosynthesis B2 protein [Brevundimonas sp.]	N\A	N\A	Lasso_Fused_RRE	1.3000000000000002e-10	37.7	1	66
MFZ5667087.1 lasso peptide biosynthesis B2 protein [Pseudomonadota bacterium]	N\A	N\A	Lasso_Fused_RRE	1.9e-12	43.7	1	71
WP_244286734.1 lasso peptide biosynthesis B2 protein [Caulobacter radicis]	N\A	N\A	Lasso_Fused_RRE	6.599999999999999e-07	25.9	3	55
WP_294251362.1 lasso peptide biosynthesis B2 protein [uncultured Sphingomonas sp.]	N\A	N\A	Lasso_Fused_RRE	5.7e-11	38.9	5	62
WP_372691208.1 lasso peptide biosynthesis B2 protein [Brevundimonas sp.]	N\A	N\A	Lasso_Fused_RRE	1.4e-08	31.3	6	71
WP_312119726.1 lasso peptide biosynthesis B2 protein [Brevundimonas diminuta]	N\A	N\A	Lasso_Fused_RRE	5.4999999999999996e-12	42.2	3	64
WP_406875808.1 lasso peptide biosynthesis B2 protein [Sphingomonas sp. 179-A 2A2 NHS]	N\A	N\A	Lasso_Fused_RRE	1.6000000000000003e-09	34.3	2	59
MES3027718.1 lasso peptide biosynthesis B2 protein [Pseudomonadota bacterium]	N\A	N\A	Lasso_Fused_RRE	4.3e-14	49.0	1	67
WP_380376484.1 lasso peptide biosynthesis B2 protein [Klebsiella aerogenes]	N\A	N\A	Lasso_Fused_RRE	1.3000000000000001e-12	44.2	1	56
WP_426020339.1 MULTISPECIES: lasso peptide biosynthesis B2 protein [unclassified Brevundimonas]	N\A	N\A	Lasso_Fused_RRE	4.8e-08	29.6	8	71
MDX2275621.1 lasso peptide biosynthesis B2 protein [Hyphomonadaceae bacterium]	N\A	N\A	Lasso_Fused_RRE	2.8e-09	33.5	1	63
MGH8903010.1 lasso peptide biosynthesis B2 protein [Egibacteraceae bacterium]	N\A	N\A	Stand_Alone_Lasso_RRE	6.8e-15	51.5	9	87
WP_175481495.1 lasso peptide biosynthesis B2 protein [Rhodanobacter glycinis]	N\A	N\A	Lasso_Fused_RRE	1e-21	73.3	1	66
WP_343698923.1 lasso peptide biosynthesis B2 protein [Caulobacter sp.]	N\A	N\A	Lasso_Fused_RRE	1.9e-12	43.7	1	65
WP_242129896.1 lasso peptide biosynthesis B2 protein [Sphingobium sp. Sx8-8]	N\A	N\A	Lasso_Fused_RRE	2.4e-09	33.8	1	63
WP_309996646.1 lasso peptide biosynthesis B2 protein [Caulobacter segnis]	N\A	N\A	Lasso_Fused_RRE	1.3e-07	28.2	1	67
WP_109099877.1 lasso peptide biosynthesis B2 protein [Caulobacter endophyticus]	N\A	N\A	Lasso_Fused_RRE	9.599999999999999e-11	38.2	1	64
WP_172264685.1 lasso peptide biosynthesis B2 protein [Caulobacter sp. RHG1]	N\A	N\A	Lasso_Fused_RRE	1.5e-12	44.0	1	62
WP_195908605.1 lasso peptide biosynthesis B2 protein [Novosphingobium sp. Gsoil 351]	N\A	N\A	Lasso_Fused_RRE	4.3e-10	36.1	4	60
WP_346805074.1 lasso peptide biosynthesis B2 protein, partial [Klebsiella pneumoniae]	N\A	N\A	Lasso_Fused_RRE	1.6e-14	50.3	5	61
WP_054729052.1 lasso peptide biosynthesis B2 protein [Sphingopyxis macrogoltabida]	N\A	N\A	Lasso_Fused_RRE	2.6000000000000002e-12	43.2	1	60
WP_196225535.1 lasso peptide biosynthesis B2 protein [Sphingobium sp. Cam5-1]	N\A	N\A	Lasso_Fused_RRE	3.4e-14	49.3	1	58
MDQ2803981.1 hypothetical protein [Pseudomonadota bacterium]	N\A	N\A	Lasso_Fused_RRE	1.6000000000000003e-09	34.3	15	77
MBU0864620.1 lasso peptide biosynthesis B2 protein [Alphaproteobacteria bacterium]	N\A	N\A	Lasso_Fused_RRE	1.9e-12	43.7	1	63
WP_178823546.1 lasso peptide biosynthesis B2 protein [Brevundimonas sp. P7753]	N\A	N\A	Lasso_Fused_RRE	9.9e-10	35.0	11	67
OJU10327.1 MAG: hypothetical protein BGN86_15535 [Caulobacterales bacterium 68-7]	N\A	N\A	Lasso_Fused_RRE	1.3e-11	41.0	5	64
WP_339586500.1 lasso peptide biosynthesis B2 protein [Novosphingobium anseongense]	N\A	N\A	Lasso_Fused_RRE	1.1e-14	50.8	5	59
WP_313808055.1 lasso peptide biosynthesis B2 protein [Sphingobium sp.]	N\A	N\A	Lasso_Fused_RRE	2.4e-14	49.8	1	66
WP_089923244.1 lasso peptide biosynthesis B2 protein [Caulobacter sp. UNC279MFTsu5.1]	N\A	N\A	Lasso_Fused_RRE	2e-14	50.0	1	69
MBX9614038.1 lasso peptide biosynthesis B2 protein [Caulobacteraceae bacterium]	N\A	N\A	Lasso_Fused_RRE	3.5e-08	30.0	1	64
WP_185224702.1 lasso peptide biosynthesis B2 protein [Brevundimonas huaxiensis]	N\A	N\A	Lasso_Fused_RRE	1.3e-08	31.4	6	65
WP_292180891.1 lasso peptide biosynthesis B2 protein [Brevundimonas sp.]	N\A	N\A	Lasso_Fused_RRE	9e-12	41.5	7	64
WP_339872997.1 lasso peptide biosynthesis B2 protein [uncultured Brevundimonas sp.]	N\A	N\A	Lasso_Fused_RRE	1.2e-08	31.6	4	68
WP_058799843.1 lasso peptide biosynthesis B2 protein [Sphingopyxis sp. H085]	N\A	N\A	Lasso_Fused_RRE	3.8e-12	42.7	2	54
HEX7693956.1 lasso peptide biosynthesis B2 protein [Sphingomonas sp.]	N\A	N\A	Lasso_Fused_RRE	3.0000000000000003e-13	46.2	1	68
MBK6703124.1 lasso peptide biosynthesis B2 protein [Caulobacteraceae bacterium]	N\A	N\A	Lasso_Fused_RRE	3.1000000000000005e-09	33.4	16	78
WP_293400905.1 lasso peptide biosynthesis B2 protein [Phenylobacterium sp.]	N\A	N\A	Lasso_Fused_RRE	4.0999999999999994e-07	26.6	1	65
MBO9708023.1 lasso peptide biosynthesis B2 protein [Caulobacter sp.]	N\A	N\A	Lasso_Fused_RRE	1.1000000000000001e-09	34.9	1	63
MFZ5683386.1 lasso peptide biosynthesis B2 protein [Pseudomonadota bacterium]	N\A	N\A	Lasso_Fused_RRE	8.199999999999999e-07	25.6	1	51
WP_099349727.1 lasso peptide biosynthesis B2 protein [Acinetobacter baumannii]	N\A	N\A	Lasso_Fused_RRE	1.6e-17	59.9	1	63
WP_111275690.1 lasso peptide biosynthesis B2 protein [Phenylobacterium kunshanense]	N\A	N\A	Lasso_Fused_RRE	6.1e-13	45.3	1	63
WP_336978407.1 lasso peptide biosynthesis B2 protein [Brevundimonas nasdae]	N\A	N\A	Lasso_Fused_RRE	3.5000000000000003e-10	36.4	1	62
WP_164917952.1 lasso peptide biosynthesis B2 protein [Brevundimonas diminuta]	N\A	N\A	Lasso_Fused_RRE	9.5e-10	35.0	4	70
WP_157683871.1 lasso peptide biosynthesis B2 protein [Brevundimonas diminuta]	N\A	N\A	Lasso_Fused_RRE	5.500000000000001e-10	35.8	2	57
WP_293454537.1 lasso peptide biosynthesis B2 protein [Phenylobacterium sp.]	N\A	N\A	Lasso_Fused_RRE	5.5e-13	45.4	1	60
WP_257842916.1 MULTISPECIES: lasso peptide biosynthesis B2 protein [unclassified Sphingomonas]	N\A	N\A	Lasso_Fused_RRE	1.4e-10	37.7	2	60
WP_235977056.1 lasso peptide biosynthesis B2 protein [Sandaracinobacteroides hominis]	N\A	N\A	Lasso_Fused_RRE	4.2000000000000006e-08	29.8	2	52
WP_171982003.1 lasso peptide biosynthesis B2 protein [Brevundimonas sp. LM2]	N\A	N\A	Lasso_Fused_RRE	3.7e-08	29.9	6	69
WP_313521943.1 lasso peptide biosynthesis B2 protein [Brevundimonas diminuta]	N\A	N\A	Lasso_Fused_RRE	2.3999999999999998e-11	40.1	1	64
MBY0565992.1 lasso peptide biosynthesis B2 protein [Hyphomonadaceae bacterium]	N\A	N\A	Lasso_Fused_RRE	2.6e-09	33.6	1	65
WP_183776925.1 lasso peptide biosynthesis B2 protein [Phenylobacterium haematophilum]	N\A	N\A	Lasso_Fused_RRE	2.5e-09	33.7	1	66
WP_310311248.1 lasso peptide biosynthesis B2 protein [Sphingopyxis sp. BE249]	N\A	N\A	Lasso_Fused_RRE	5.500000000000001e-10	35.8	2	62
WP_219354917.1 lasso peptide biosynthesis B2 protein [Brevundimonas nasdae]	N\A	N\A	Lasso_Fused_RRE	1.2e-08	31.5	3	59
WP_313044940.1 lasso peptide biosynthesis B2 protein [Brevundimonas sp.]	N\A	N\A	Lasso_Fused_RRE	5.3e-09	32.6	4	65
MFO1016749.1 lasso peptide biosynthesis B2 protein [Hyphomonadaceae bacterium]	N\A	N\A	Lasso_Fused_RRE	1.3000000000000002e-10	37.8	1	62
WP_164857347.1 lasso peptide biosynthesis B2 protein [Sphingomonas crocodyli]	N\A	N\A	Lasso_Fused_RRE	1.6000000000000003e-09	34.3	3	57
WP_416462484.1 lasso peptide biosynthesis B2 protein [Sphingomonas sp. VDB2]	N\A	N\A	Lasso_Fused_RRE	6.900000000000001e-14	48.3	1	60
MBY0566523.1 lasso peptide biosynthesis B2 protein [Hyphomonadaceae bacterium]	N\A	N\A	Lasso_Fused_RRE	7.400000000000001e-13	45.0	1	61
WP_281822302.1 lasso peptide biosynthesis B2 protein [Sphingobium sp. BS19]	N\A	N\A	Lasso_Fused_RRE	2.8e-08	30.3	1	63
WP_123170733.1 lasso peptide biosynthesis B2 protein [Caulobacter flavus]	N\A	N\A	Lasso_Fused_RRE	2.8e-09	33.5	5	64
HEX8669622.1 lasso peptide biosynthesis B2 protein [Allosphingosinicella sp.]	N\A	N\A	Lasso_Fused_RRE	8.400000000000001e-10	35.2	1	54
WP_297511017.1 lasso peptide biosynthesis B2 protein [uncultured Caulobacter sp.]	N\A	N\A	Lasso_Fused_RRE	1.7000000000000001e-09	34.2	1	55
WP_140851517.1 lasso peptide biosynthesis B2 protein [Sphingomonas glacialis]	N\A	N\A	Lasso_Fused_RRE	4.400000000000001e-12	42.5	1	64
WP_313040029.1 lasso peptide biosynthesis B2 protein [Brevundimonas diminuta]	N\A	N\A	Lasso_Fused_RRE	6.0999999999999995e-12	42.1	3	65
WP_296595492.1 lasso peptide biosynthesis B2 protein [Phenylobacterium sp.]	N\A	N\A	Lasso_Fused_RRE	1.1999999999999999e-11	41.1	1	70
WP_295325776.1 lasso peptide biosynthesis B2 protein [uncultured Sphingopyxis sp.]	N\A	N\A	Lasso_Fused_RRE	1.8e-10	37.4	6	58
MEZ5182421.1 hypothetical protein [Acidimicrobiales bacterium]	N\A	N\A	Lasso_Fused_RRE	4.8e-08	29.6	8	72
MBW8302928.1 lasso peptide biosynthesis B2 protein [Brevundimonas sp.]	N\A	N\A	Lasso_Fused_RRE	3.7999999999999996e-08	29.9	4	63
WP_294055450.1 lasso peptide biosynthesis B2 protein [Sphingomonas sp.]	N\A	N\A	Lasso_Fused_RRE	4.9e-11	39.2	1	65
WP_325028033.1 lasso peptide biosynthesis B2 protein [Sphingopyxis sp.]	N\A	N\A	Lasso_Fused_RRE	1.4e-08	31.3	1	58
WP_157935777.1 MULTISPECIES: lasso peptide biosynthesis B2 protein [Tsuneonella]	N\A	N\A	Lasso_Fused_RRE	1.3999999999999999e-11	40.9	1	62
WP_179220868.1 lasso peptide biosynthesis B2 protein [Edaphosphingomonas laterariae]	N\A	N\A	Lasso_Fused_RRE	1.8e-14	50.1	1	60
WP_300443988.1 lasso peptide biosynthesis B2 protein [Brevundimonas sp.]	N\A	N\A	Lasso_Fused_RRE	1.1000000000000001e-09	34.8	4	67
WP_333895739.1 lasso peptide biosynthesis B2 protein [Brevundimonas aurantiaca]	N\A	N\A	Lasso_Fused_RRE	2.7e-09	33.6	5	63
WP_409616534.1 lasso peptide biosynthesis B2 protein [Brevundimonas aurantiaca]	N\A	N\A	Lasso_Fused_RRE	4.3e-13	45.7	4	67
TPV99770.1 MAG: hypothetical protein USCAAHI_00784 [Beijerinckiaceae bacterium]	N\A	N\A	Stand_Alone_Lasso_RRE	1.4e-09	34.4	15	84
MEW6629127.1 lasso peptide biosynthesis B2 protein [Pseudomonadota bacterium]	N\A	N\A	Lasso_Fused_RRE	9.1e-13	44.7	1	61
WP_198577081.1 lasso peptide biosynthesis B2 protein [Caulobacter hibisci]	N\A	N\A	Lasso_Fused_RRE	2.8999999999999998e-08	30.3	1	58
MBX9617179.1 lasso peptide biosynthesis B2 protein [Caulobacteraceae bacterium]	N\A	N\A	Lasso_Fused_RRE	2.2e-11	40.3	1	66
WP_409611355.1 lasso peptide biosynthesis B2 protein [Brevundimonas sp.]	N\A	N\A	Lasso_Fused_RRE	3.3999999999999996e-12	42.9	3	70
HWV00547.1 lasso peptide biosynthesis B2 protein [Devosia sp.]	N\A	N\A	Lasso_Fused_RRE	5.1e-09	32.7	1	65
WP_416509504.1 lasso peptide biosynthesis B2 protein [Streptomyces sp. HMX112]	N\A	N\A	Stand_Alone_Lasso_RRE	5.5e-07	26.1	8	85
WP_423605442.1 lasso peptide biosynthesis B2 protein [Sphingomonas sp. MS122]	N\A	N\A	Lasso_Fused_RRE	1.1999999999999999e-11	41.1	1	62
WP_400546128.1 lasso peptide biosynthesis B2 protein [Brevundimonas sp. NPDC090276]	N\A	N\A	Lasso_Fused_RRE	1.1000000000000001e-10	38.0	9	72
WP_158514470.1 lasso peptide biosynthesis B2 protein [Sphingopyxis macrogoltabida]	N\A	N\A	Lasso_Fused_RRE	2.1000000000000002e-14	49.9	2	67
WP_201100137.1 lasso peptide biosynthesis B2 protein [Brevundimonas nasdae]	N\A	N\A	Lasso_Fused_RRE	1.3e-06	25.0	1	64
WP_254293817.1 lasso peptide biosynthesis B2 protein [Sphingomonas tagetis]	N\A	N\A	Lasso_Fused_RRE	3.2999999999999996e-07	26.9	2	53
WP_067179626.1 MULTISPECIES: lasso peptide biosynthesis B2 protein [Sphingopyxis]	N\A	N\A	Lasso_Fused_RRE	1.3e-09	34.5	1	66
WP_281126564.1 lasso peptide biosynthesis B2 protein [Sphingomonas sp. AR_OL41]	N\A	N\A	Lasso_Fused_RRE	1.3000000000000002e-10	37.8	2	62
WP_293869970.1 MULTISPECIES: lasso peptide biosynthesis B2 protein [unclassified Sphingomonas]	N\A	N\A	Lasso_Fused_RRE	5.4e-09	32.6	3	59
WP_331008480.1 lasso peptide biosynthesis B2 protein [Vitreimonas sp.]	N\A	N\A	Lasso_Fused_RRE	3.6e-12	42.8	1	65
WP_375188937.1 lasso peptide biosynthesis B2 protein [Sphingobium yanoikuyae]	N\A	N\A	Lasso_Fused_RRE	2.5e-09	33.7	1	61
WP_307512735.1 lasso peptide biosynthesis B2 protein [Brevundimonas vesicularis]	N\A	N\A	Lasso_Fused_RRE	5.7999999999999994e-11	38.9	4	67
WP_346531363.1 lasso peptide biosynthesis B2 protein [Brevundimonas diminuta]	N\A	N\A	Lasso_Fused_RRE	4e-10	36.2	5	65
WP_168905530.1 lasso peptide biosynthesis B2 protein [Novosphingobium sp. ERW19]	N\A	N\A	Lasso_Fused_RRE	4.5e-10	36.1	6	56
WP_062099660.1 lasso peptide biosynthesis B2 protein [Caulobacter sp. CCH5-E12]	N\A	N\A	Lasso_Fused_RRE	6.700000000000001e-13	45.1	1	65
WP_182715044.1 lasso peptide biosynthesis B2 protein [Brevundimonas aurantiaca]	N\A	N\A	Lasso_Fused_RRE	5.7000000000000006e-09	32.5	4	67
PZQ63460.1 MAG: lasso peptide biosynthesis B2 protein [Phenylobacterium zucineum]	N\A	N\A	Lasso_Fused_RRE	2.2000000000000003e-09	33.8	10	60
MGD9711856.1 lasso peptide biosynthesis B2 protein [Thermomicrobiales bacterium]	N\A	N\A	Lasso_Fused_RRE	9.4e-11	38.2	2	57
WP_106639779.1 lasso peptide biosynthesis B2 protein [Allosphingosinicella vermicomposti]	N\A	N\A	Lasso_Fused_RRE	3.2e-08	30.1	3	63
MFO0982779.1 lasso peptide biosynthesis B2 protein [Planctomycetota bacterium]	N\A	N\A	Stand_Alone_Lasso_RRE	5.5000000000000004e-09	32.5	3	71
TCP65468.1 transglutaminase superfamily protein [Sphingomonas sp. PP-CE-1G-424]	N\A	N\A	Lasso_Fused_RRE	1.1000000000000002e-12	44.4	1	62
WP_354087601.1 lasso peptide biosynthesis B2 protein [Brevundimonas faecalis]	N\A	N\A	Lasso_Fused_RRE	2.2e-11	40.3	1	62
WP_304277771.1 lasso peptide biosynthesis B2 protein [Caulobacter segnis]	N\A	N\A	Lasso_Fused_RRE	2.7e-11	40.0	1	64
WP_381492678.1 lasso peptide biosynthesis B2 protein [Sphingosinicella xenopeptidilytica]	N\A	N\A	Lasso_Fused_RRE	4.5e-10	36.1	1	66
WP_086457061.1 lasso peptide biosynthesis B2 protein [Sphingopyxis terrae]	N\A	N\A	Lasso_Fused_RRE	2.6e-14	49.6	1	63
WP_137893516.1 lasso peptide biosynthesis B2 protein [Sphingopyxis sp.]	N\A	N\A	Lasso_Fused_RRE	4.4e-11	39.3	1	63
TAM25556.1 MAG: hypothetical protein EPN68_07960, partial [Rhodanobacter sp.]	N\A	N\A	Lasso_Fused_RRE	5.5e-16	55.0	1	69
WP_268169454.1 lasso peptide biosynthesis B2 protein [Novosphingobium sp. SL115]	N\A	N\A	Lasso_Fused_RRE	5.9e-10	35.7	6	56
