Cluster Composition,Cluster Ancestor,Representative sequence,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
1 member(s) 1 organism(s),bacteria,lasso peptide biosynthesis B2 protein [Polyangiaceae bacterium],54.7,54.7,31%,2e-06,50.00,60,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/HVZ34530.1?report=genbank&log$=prottop&blast_rank=46&RID=AVF030C7015"",""HVZ34530.1"")"
1 member(s) 1 organism(s),g-proteobacteria,lasso peptide biosynthesis B2 protein [Fontimonas sp.],57.8,57.8,90%,2e-06,27.75,226,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/HEY1076895.1?report=genbank&log$=prottop&blast_rank=47&RID=AVF030C7015"",""HEY1076895.1"")"
2 member(s) 2 organism(s),a-proteobacteria,lasso peptide biosynthesis B2 protein [uncultured Sphingopyxis sp.],57.4,57.4,48%,2e-06,36.26,212,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_295325776.1?report=genbank&log$=prottop&blast_rank=48&RID=AVF030C7015"",""WP_295325776.1"")"
1 member(s) 1 organism(s),g-proteobacteria,lasso peptide biosynthesis B2 protein [Steroidobacter sp.],57.8,57.8,66%,2e-06,35.07,237,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MGH8176776.1?report=genbank&log$=prottop&blast_rank=49&RID=AVF030C7015"",""MGH8176776.1"")"
1 member(s) 1 organism(s),proteobacteria,lasso peptide biosynthesis B2 protein [Pseudomonadota bacterium],57.4,57.4,93%,3e-06,27.80,219,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MES2136941.1?report=genbank&log$=prottop&blast_rank=50&RID=AVF030C7015"",""MES2136941.1"")"
1 member(s) 1 organism(s),a-proteobacteria,lasso peptide biosynthesis B2 protein [Novosphingobium sp. BL-52-GroH],55.8,55.8,43%,3e-06,40.74,136,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_404479221.1?report=genbank&log$=prottop&blast_rank=51&RID=AVF030C7015"",""WP_404479221.1"")"
1 member(s) 1 organism(s),a-proteobacteria,lasso peptide biosynthesis B2 protein [Sphingobium yanoikuyae],57.4,57.4,60%,3e-06,33.05,208,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_278986069.1?report=genbank&log$=prottop&blast_rank=52&RID=AVF030C7015"",""WP_278986069.1"")"
1 member(s) 1 organism(s),proteobacteria,lasso peptide biosynthesis B2 protein [Pseudomonadota bacterium],57.4,57.4,60%,3e-06,33.05,227,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MBS0418028.1?report=genbank&log$=prottop&blast_rank=53&RID=AVF030C7015"",""MBS0418028.1"")"
73 member(s) 14 organism(s),g-proteobacteria,lasso peptide biosynthesis B2 protein [Xanthomonas arboricola],57.4,57.4,81%,3e-06,32.70,224,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_016903881.1?report=genbank&log$=prottop&blast_rank=54&RID=AVF030C7015"",""WP_016903881.1"")"
2 member(s) 2 organism(s),g-proteobacteria,hypothetical protein [Gammaproteobacteria bacterium],57.4,57.4,57%,4e-06,34.51,243,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MDB6013070.1?report=genbank&log$=prottop&blast_rank=55&RID=AVF030C7015"",""MDB6013070.1"")"
1 member(s) 1 organism(s),a-proteobacteria,MULTISPECIES: lasso peptide biosynthesis B2 protein [Tsuneonella],56.6,56.6,91%,5e-06,31.86,215,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_157935777.1?report=genbank&log$=prottop&blast_rank=56&RID=AVF030C7015"",""WP_157935777.1"")"
1 member(s) 1 organism(s),g-proteobacteria,lasso peptide biosynthesis B2 protein [Steroidobacteraceae bacterium],56.6,56.6,81%,6e-06,30.62,233,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/HVW70034.1?report=genbank&log$=prottop&blast_rank=57&RID=AVF030C7015"",""HVW70034.1"")"
1 member(s) 1 organism(s),a-proteobacteria,lasso peptide biosynthesis B2 protein [Sphingomonas sp.],56.6,56.6,60%,6e-06,33.88,213,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/HVJ02999.1?report=genbank&log$=prottop&blast_rank=58&RID=AVF030C7015"",""HVJ02999.1"")"
1 member(s) 1 organism(s),a-proteobacteria,lasso peptide biosynthesis B2 protein [Allosphingosinicella sp.],56.6,56.6,61%,6e-06,33.04,217,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/HYJ53198.1?report=genbank&log$=prottop&blast_rank=59&RID=AVF030C7015"",""HYJ53198.1"")"
1 member(s) 1 organism(s),a-proteobacteria,lasso peptide biosynthesis B2 protein [Qipengyuania qiaonensis],56.2,56.2,90%,6e-06,25.91,205,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_221555779.1?report=genbank&log$=prottop&blast_rank=60&RID=AVF030C7015"",""WP_221555779.1"")"
1 member(s) 1 organism(s),a-proteobacteria,lasso peptide biosynthesis B2 protein [Sphingomonas sanxanigenens],56.6,56.6,71%,6e-06,33.11,224,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_158013976.1?report=genbank&log$=prottop&blast_rank=61&RID=AVF030C7015"",""WP_158013976.1"")"
1 member(s) 1 organism(s),a-proteobacteria,lasso peptide biosynthesis B2 protein [Vitreimonas flagellata],56.2,56.2,63%,8e-06,32.77,214,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_167755641.1?report=genbank&log$=prottop&blast_rank=62&RID=AVF030C7015"",""WP_167755641.1"")"
3 member(s) 2 organism(s),g-proteobacteria,lasso peptide biosynthesis B2 protein [Xanthomonas euroxanthea],56.2,56.2,56%,8e-06,37.61,224,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_166766371.1?report=genbank&log$=prottop&blast_rank=63&RID=AVF030C7015"",""WP_166766371.1"")"
1 member(s) 1 organism(s),g-proteobacteria,lasso peptide biosynthesis B2 protein [Pseudoxanthomonas composti],55.5,55.5,90%,1e-05,27.17,201,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_129469866.1?report=genbank&log$=prottop&blast_rank=64&RID=AVF030C7015"",""WP_129469866.1"")"
1 member(s) 1 organism(s),bacteria,MAG: hypothetical protein AUH11_04030 [Acidobacteria bacterium 13_2_20CM_57_17],53.9,53.9,31%,1e-05,44.83,124,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/OLB39489.1?report=genbank&log$=prottop&blast_rank=65&RID=AVF030C7015"",""OLB39489.1"")"
1 member(s) 1 organism(s),a-proteobacteria,lasso peptide biosynthesis B2 protein [Sphingobium aromaticiconvertens],55.5,55.5,91%,1e-05,27.62,224,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_082166282.1?report=genbank&log$=prottop&blast_rank=66&RID=AVF030C7015"",""WP_082166282.1"")"
1 member(s) 1 organism(s),g-proteobacteria,hypothetical protein [Gammaproteobacteria bacterium],54.3,54.3,57%,1e-05,34.51,155,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MDB6013992.1?report=genbank&log$=prottop&blast_rank=67&RID=AVF030C7015"",""MDB6013992.1"")"
1 member(s) 1 organism(s),a-proteobacteria,lasso peptide biosynthesis B2 protein [Sphingopyxis sp. SE2],55.5,55.5,43%,1e-05,38.10,220,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_313911276.1?report=genbank&log$=prottop&blast_rank=68&RID=AVF030C7015"",""WP_313911276.1"")"
1 member(s) 1 organism(s),a-proteobacteria,lasso peptide biosynthesis B2 protein [Sphingopyxis sp.],55.5,55.5,31%,2e-05,44.07,220,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MBL8650248.1?report=genbank&log$=prottop&blast_rank=69&RID=AVF030C7015"",""MBL8650248.1"")"
1 member(s) 1 organism(s),g-proteobacteria,lasso peptide biosynthesis B2 protein [Xanthomonas sp. NCPPB 1325],55.1,55.1,56%,2e-05,34.86,224,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_372362202.1?report=genbank&log$=prottop&blast_rank=70&RID=AVF030C7015"",""WP_372362202.1"")"
1 member(s) 1 organism(s),a-proteobacteria,lasso peptide biosynthesis B2 protein [Allosphingosinicella sp.],55.1,55.1,63%,2e-05,32.23,226,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_431849670.1?report=genbank&log$=prottop&blast_rank=71&RID=AVF030C7015"",""WP_431849670.1"")"
1 member(s) 1 organism(s),a-proteobacteria,lasso peptide biosynthesis B2 protein [Sphingomonas sp. SORGH_AS_0742],53.9,53.9,48%,2e-05,32.22,152,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_405053238.1?report=genbank&log$=prottop&blast_rank=72&RID=AVF030C7015"",""WP_405053238.1"")"
1 member(s) 1 organism(s),a-proteobacteria,lasso peptide biosynthesis B2 protein [Caulobacter endophyticus],55.1,55.1,58%,2e-05,35.78,215,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_277792965.1?report=genbank&log$=prottop&blast_rank=73&RID=AVF030C7015"",""WP_277792965.1"")"
1 member(s) 1 organism(s),proteobacteria,lasso peptide biosynthesis B2 protein [Pseudomonadota bacterium],54.7,54.7,45%,2e-05,34.48,203,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MBW4050507.1?report=genbank&log$=prottop&blast_rank=74&RID=AVF030C7015"",""MBW4050507.1"")"
1 member(s) 1 organism(s),a-proteobacteria,lasso peptide biosynthesis B2 protein [Caulobacter sp. CCH5-E12],55.1,55.1,91%,2e-05,30.20,216,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_062098388.1?report=genbank&log$=prottop&blast_rank=75&RID=AVF030C7015"",""WP_062098388.1"")"
1 member(s) 1 organism(s),bacteria,lasso peptide biosynthesis B2 protein [Candidatus Acidiferrales bacterium],53.1,53.1,58%,2e-05,32.11,124,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MFZ3330713.1?report=genbank&log$=prottop&blast_rank=76&RID=AVF030C7015"",""MFZ3330713.1"")"
1 member(s) 1 organism(s),a-proteobacteria,lasso peptide biosynthesis B2 protein [Sphingomonas sp. KR3-1],54.7,54.7,61%,2e-05,34.48,213,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_348974962.1?report=genbank&log$=prottop&blast_rank=77&RID=AVF030C7015"",""WP_348974962.1"")"
1 member(s) 1 organism(s),a-proteobacteria,lasso peptide biosynthesis B2 protein [Asticcacaulis aquaticus],54.7,54.7,43%,2e-05,36.47,217,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_272746657.1?report=genbank&log$=prottop&blast_rank=78&RID=AVF030C7015"",""WP_272746657.1"")"
1 member(s) 1 organism(s),a-proteobacteria,lasso peptide biosynthesis B2 protein [Sphingobium sp. MK2],52.8,52.8,58%,3e-05,35.40,117,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_405053681.1?report=genbank&log$=prottop&blast_rank=79&RID=AVF030C7015"",""WP_405053681.1"")"
1 member(s) 1 organism(s),a-proteobacteria,lasso peptide biosynthesis B2 protein [Sphingopyxis sp.],54.7,54.7,38%,3e-05,41.67,223,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_325539884.1?report=genbank&log$=prottop&blast_rank=80&RID=AVF030C7015"",""WP_325539884.1"")"
1 member(s) 1 organism(s),a-proteobacteria,lasso peptide biosynthesis B2 protein [Caulobacter sp.],54.3,54.3,57%,3e-05,34.19,219,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_291878984.1?report=genbank&log$=prottop&blast_rank=81&RID=AVF030C7015"",""WP_291878984.1"")"
1 member(s) 1 organism(s),a-proteobacteria,lasso peptide biosynthesis B2 protein [Sphingomonas sp.],54.3,54.3,45%,3e-05,35.29,224,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_293975616.1?report=genbank&log$=prottop&blast_rank=82&RID=AVF030C7015"",""WP_293975616.1"")"
1 member(s) 1 organism(s),proteobacteria,lasso peptide biosynthesis B2 protein [Pseudomonadota bacterium],52.4,52.4,56%,3e-05,29.52,115,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MDP9085322.1?report=genbank&log$=prottop&blast_rank=83&RID=AVF030C7015"",""MDP9085322.1"")"
1 member(s) 1 organism(s),a-proteobacteria,lasso peptide biosynthesis B2 protein [Sphingopyxis sp.],52.4,52.4,53%,3e-05,33.65,115,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_422060797.1?report=genbank&log$=prottop&blast_rank=84&RID=AVF030C7015"",""WP_422060797.1"")"
