#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
TAM25556.1_MAG_hypothetical_protein_EPN68_07960,_partial_[Rhodanobacter_sp.]                               -            185 Lasso_Fused_RRE      RREFam003     72   2.8e-16   56.0   0.1   1   1   1.3e-16   5.5e-16   55.0   0.1     2    72     1    69     1    69 0.91 -
WP_052071776.1_lasso_peptide_biosynthesis_B2_protein_[Sphingopyxis_sp._MWB1]                               -            213 Lasso_Fused_RRE      RREFam003     72   5.5e-16   55.0   0.2   1   1   4.7e-16   1.9e-15   53.3   0.0     2    67     1    63     1    68 0.93 -
MEI9850135.1_lasso_peptide_biosynthesis_B2_protein_[Sphingomonas_sp.]                                      -            213 Lasso_Fused_RRE      RREFam003     72   6.2e-16   54.8   0.0   1   1   3.4e-16   1.4e-15   53.7   0.0     2    67     1    66     1    69 0.90 -
PKP92523.1_MAG_hypothetical_protein_CVT77_08680_[Alphaproteobacteria_bacterium_HGW-Alphaproteobacteria-16] -            215 Lasso_Fused_RRE      RREFam003     72   6.7e-16   54.7   0.1   1   1     3e-16   1.3e-15   53.9   0.1     1    49     1    49     1    66 0.83 -
WP_431562194.1_lasso_peptide_biosynthesis_B2_protein_[Sphingopyxis_sp.]                                    -            213 Lasso_Fused_RRE      RREFam003     72   6.7e-16   54.7   0.0   1   1   3.4e-16   1.4e-15   53.7   0.0     6    70     1    63     1    65 0.95 -
WP_421738021.1_lasso_peptide_biosynthesis_B2_protein_[Caulobacter_sp.]                                     -            213 Lasso_Fused_RRE      RREFam003     72   1.9e-15   53.3   0.5   1   1   3.7e-15   1.6e-14   50.4   0.0     2    70     1    68     1    70 0.91 -
WP_339586500.1_lasso_peptide_biosynthesis_B2_protein_[Novosphingobium_anseongense]                         -            209 Lasso_Fused_RRE      RREFam003     72   3.8e-15   52.3   0.1   1   1   2.6e-15   1.1e-14   50.8   0.1     8    66     5    59     1    82 0.85 -
WP_143324390.1_lasso_peptide_biosynthesis_B2_protein_[Caulobacter_sp._FWC2]                                -            213 Lasso_Fused_RRE      RREFam003     72   4.6e-15   52.1   0.3   1   1     3e-15   1.3e-14   50.7   0.3     2    67     1    65     1    67 0.91 -
WP_089923244.1_lasso_peptide_biosynthesis_B2_protein_[Caulobacter_sp._UNC279MFTsu5.1]                      -            212 Lasso_Fused_RRE      RREFam003     72   6.5e-15   51.6   0.2   1   1   4.8e-15     2e-14   50.0   0.2     2    71     1    69     1    70 0.90 -
WP_179220868.1_lasso_peptide_biosynthesis_B2_protein_[Edaphosphingomonas_laterariae]                       -            210 Lasso_Fused_RRE      RREFam003     72   7.2e-15   51.4   0.1   1   1   4.4e-15   1.8e-14   50.1   0.1     4    67     1    60     1    63 0.87 -
WP_158514470.1_lasso_peptide_biosynthesis_B2_protein_[Sphingopyxis_macrogoltabida]                         -            210 Lasso_Fused_RRE      RREFam003     72   9.2e-15   51.1   0.0   1   1     5e-15   2.1e-14   49.9   0.0     2    70     2    67     1    69 0.85 -
HVJ02999.1_lasso_peptide_biosynthesis_B2_protein_[Sphingomonas_sp.]                                        -            213 Lasso_Fused_RRE      RREFam003     72   9.3e-15   51.1   0.0   1   1   4.8e-15     2e-14   50.0   0.0     2    71     1    70     1    71 0.94 -
WP_086457061.1_lasso_peptide_biosynthesis_B2_protein_[Sphingopyxis_terrae]                                 -            214 Lasso_Fused_RRE      RREFam003     72     1e-14   51.0   0.4   1   1   6.3e-15   2.6e-14   49.6   0.0     2    67     1    63     1    66 0.87 -
WP_367775145.1_lasso_peptide_biosynthesis_B2_protein_[Novosphingobium_rhizovicinum]                        -            215 Lasso_Fused_RRE      RREFam003     72     1e-14   50.9   1.0   1   1   3.6e-15   1.5e-14   50.4   0.1     4    68     4    66     1    70 0.90 -
WP_346805074.1_lasso_peptide_biosynthesis_B2_protein,_partial_[Klebsiella_pneumoniae]                      -            210 Lasso_Fused_RRE      RREFam003     72   1.1e-14   50.9   0.0   1   1   3.9e-15   1.6e-14   50.3   0.0     2    67     5    61     4    64 0.94 -
WP_196225535.1_lasso_peptide_biosynthesis_B2_protein_[Sphingobium_sp._Cam5-1]                              -            211 Lasso_Fused_RRE      RREFam003     72   1.4e-14   50.5   0.0   1   1   8.2e-15   3.4e-14   49.3   0.0     2    57     1    58     1    64 0.90 -
WP_313808055.1_lasso_peptide_biosynthesis_B2_protein_[Sphingobium_sp.]                                     -            210 Lasso_Fused_RRE      RREFam003     72   1.5e-14   50.4   0.5   1   1   5.7e-15   2.4e-14   49.8   0.5     2    67     1    66     1    69 0.89 -
MES3027718.1_lasso_peptide_biosynthesis_B2_protein_[Pseudomonadota_bacterium]                              -            215 Lasso_Fused_RRE      RREFam003     72   1.7e-14   50.2   0.0   1   1     1e-14   4.3e-14   49.0   0.0     2    69     1    67     1    69 0.83 -
WP_354039918.1_MULTISPECIES_lasso_peptide_biosynthesis_B2_protein_[unclassified_Brevundimonas]             -            212 Lasso_Fused_RRE      RREFam003     72   1.7e-14   50.2   0.7   1   1   6.9e-15   2.9e-14   49.5   0.7     2    70     1    68     1    70 0.92 -
WP_348974962.1_lasso_peptide_biosynthesis_B2_protein_[Sphingomonas_sp._KR3-1]                              -            213 Lasso_Fused_RRE      RREFam003     72   1.9e-14   50.1   0.0   1   1     1e-14   4.3e-14   48.9   0.0     2    67     1    66     1    71 0.85 -
WP_135209722.1_lasso_peptide_biosynthesis_B2_protein_[Vitreimonas_flagellata]                              -            209 Lasso_Fused_RRE      RREFam003     72   2.7e-14   49.6   0.1   1   1   1.3e-14   5.4e-14   48.6   0.1     4    70     4    72     1    74 0.83 -
WP_416462484.1_lasso_peptide_biosynthesis_B2_protein_[Sphingomonas_sp._VDB2]                               -            214 Lasso_Fused_RRE      RREFam003     72   3.3e-14   49.3   0.0   1   1   1.6e-14   6.9e-14   48.3   0.0     6    67     1    60     1    65 0.93 -
WP_171795492.1_MULTISPECIES_lasso_peptide_biosynthesis_B2_protein_[unclassified_Novosphingobium]           -            214 Lasso_Fused_RRE      RREFam003     72   3.4e-14   49.3   0.1   1   1   1.9e-14   8.1e-14   48.1   0.1     6    49     1    44     1    59 0.89 -
MFN7106859.1_lasso_peptide_biosynthesis_B2_protein_[Brevundimonas_sp.]                                     -            212 Lasso_Fused_RRE      RREFam003     72   3.5e-14   49.2   0.2   1   1   1.5e-14   6.2e-14   48.4   0.2     2    69     1    67     1    70 0.82 -
WP_072893437.1_MULTISPECIES_lasso_peptide_biosynthesis_B2_protein_[Sphingobium]                            -            211 Lasso_Fused_RRE      RREFam003     72   4.3e-14   49.0   0.0   1   1   2.2e-14   9.2e-14   47.9   0.0     3    71     1    66     1    67 0.93 -
WP_305639879.1_lasso_peptide_biosynthesis_B2_protein_[Brevundimonas_sp.]                                   -            215 Lasso_Fused_RRE      RREFam003     72   4.7e-14   48.8   0.2   1   1   2.7e-14   1.1e-13   47.6   0.1     6    69     5    67     1    70 0.90 -
WP_324698901.1_lasso_peptide_biosynthesis_B2_protein_[Novosphingobium_sp._RL4]                             -            215 Lasso_Fused_RRE      RREFam003     72   9.6e-14   47.8   0.2   1   1     9e-14   3.8e-13   45.9   0.0     2    70     1    67     1    68 0.81 -
WP_329638785.1_lasso_peptide_biosynthesis_B2_protein_[Phenylobacterium_sp.]                                -            213 Lasso_Fused_RRE      RREFam003     72   9.7e-14   47.8   0.1   1   2   2.5e-12     1e-11   41.3   0.1     6    68     1    62     1    66 0.81 -
WP_329638785.1_lasso_peptide_biosynthesis_B2_protein_[Phenylobacterium_sp.]                                -            213 Lasso_Fused_RRE      RREFam003     72   9.7e-14   47.8   0.1   2   2      0.83       3.5    4.4   0.0    25    61   101   137   100   140 0.85 -
WP_242128520.1_lasso_peptide_biosynthesis_B2_protein_[Sphingobium_sp._Sx8-8]                               -            210 Lasso_Fused_RRE      RREFam003     72     1e-13   47.8   0.5   1   1   4.2e-14   1.8e-13   47.0   0.5     2    67     1    66     1    70 0.87 -
HEX7693956.1_lasso_peptide_biosynthesis_B2_protein_[Sphingomonas_sp.]                                      -            200 Lasso_Fused_RRE      RREFam003     72   1.4e-13   47.3   0.1   1   1   7.2e-14     3e-13   46.2   0.1     2    68     1    68     1    70 0.90 -
WP_431866276.1_lasso_peptide_biosynthesis_B2_protein_[Allosphingosinicella_sp.]                            -            207 Lasso_Fused_RRE      RREFam003     72   1.4e-13   47.3   0.0   1   1   6.9e-14   2.9e-13   46.3   0.0    15    69     2    56     1    59 0.93 -
MBJ7439934.1_lasso_peptide_biosynthesis_B2_protein_[Sphingopyxis_sp.]                                      -            214 Lasso_Fused_RRE      RREFam003     72   1.5e-13   47.2   0.1   1   1   6.9e-14   2.9e-13   46.3   0.1     2    64     1    60     1    65 0.86 -
WP_409676066.1_lasso_peptide_biosynthesis_B2_protein_[Blastomonas_sp.]                                     -            214 Lasso_Fused_RRE      RREFam003     72   1.5e-13   47.2   0.2   1   1   3.6e-14   1.5e-13   47.2   0.2     1    43     1    43     1    71 0.86 -
HET9399013.1_lasso_peptide_biosynthesis_B2_protein_[Sphingomicrobium_sp.]                                  -            215 Lasso_Fused_RRE      RREFam003     72   1.5e-13   47.2   0.2   1   1   7.9e-14   3.3e-13   46.1   0.1     3    67     3    65     1    68 0.89 -
WP_284458436.1_lasso_peptide_biosynthesis_B2_protein_[Blastomonas_fulva]                                   -            213 Lasso_Fused_RRE      RREFam003     72   1.6e-13   47.2   0.0   1   1     1e-13   4.2e-13   45.8   0.0     2    67     1    63     1    87 0.85 -
WP_093085501.1_lasso_peptide_biosynthesis_B2_protein_[Sphingobium_sp._AP50]                                -            214 Lasso_Fused_RRE      RREFam003     72   2.3e-13   46.6   0.0   1   1   8.8e-14   3.7e-13   46.0   0.0     2    61     1    57     1    68 0.84 -
WP_293454537.1_lasso_peptide_biosynthesis_B2_protein_[Phenylobacterium_sp.]                                -            209 Lasso_Fused_RRE      RREFam003     72   2.3e-13   46.6   0.3   1   1   1.3e-13   5.5e-13   45.4   0.3     2    67     1    60     1    64 0.79 -
WP_343698923.1_lasso_peptide_biosynthesis_B2_protein_[Caulobacter_sp.]                                     -            215 Lasso_Fused_RRE      RREFam003     72   2.4e-13   46.6   0.0   1   1   4.5e-13   1.9e-12   43.7   0.0     2    68     1    65     1    71 0.81 -
WP_409616534.1_lasso_peptide_biosynthesis_B2_protein_[Brevundimonas_aurantiaca]                            -            212 Lasso_Fused_RRE      RREFam003     72   2.4e-13   46.6   0.2   1   1     1e-13   4.3e-13   45.7   0.2     5    69     4    67     1    69 0.82 -
WP_309995214.1_lasso_peptide_biosynthesis_B2_protein_[Caulobacter_segnis]                                  -            213 Lasso_Fused_RRE      RREFam003     72   2.4e-13   46.6   0.1   1   1   1.4e-13   5.7e-13   45.4   0.1     2    67     1    65     1    68 0.87 -
WP_111275690.1_lasso_peptide_biosynthesis_B2_protein_[Phenylobacterium_kunshanense]                        -            213 Lasso_Fused_RRE      RREFam003     72   2.5e-13   46.5   1.1   1   1   1.5e-13   6.1e-13   45.3   1.1     2    65     1    63     1    68 0.90 -
MBY0566523.1_lasso_peptide_biosynthesis_B2_protein_[Hyphomonadaceae_bacterium]                             -            209 Lasso_Fused_RRE      RREFam003     72   2.9e-13   46.3   0.0   1   1   1.8e-13   7.4e-13   45.0   0.0     3    67     1    61     1    64 0.90 -
WP_269540418.1_lasso_peptide_biosynthesis_B2_protein_[Escherichia_coli]                                    -            208 Lasso_Fused_RRE      RREFam003     72     3e-13   46.2   0.0   1   1   1.2e-13     5e-13   45.5   0.0    10    71     4    65     2    66 0.96 -
WP_058818190.1_MULTISPECIES_lasso_peptide_biosynthesis_B2_protein_[unclassified_Sphingopyxis]              -            208 Lasso_Fused_RRE      RREFam003     72   3.5e-13   46.0   0.0   1   1   1.8e-13   7.4e-13   45.0   0.0     2    67     2    64     1    68 0.87 -
WP_172264685.1_lasso_peptide_biosynthesis_B2_protein_[Caulobacter_sp._RHG1]                                -            215 Lasso_Fused_RRE      RREFam003     72     4e-13   45.9   0.2   1   1   3.7e-13   1.5e-12   44.0   0.1     2    65     1    62     1    67 0.83 -
TCP65468.1_transglutaminase_superfamily_protein_[Sphingomonas_sp._PP-CE-1G-424]                            -            215 Lasso_Fused_RRE      RREFam003     72   5.1e-13   45.5   0.4   1   1   2.7e-13   1.1e-12   44.4   0.4     6    67     1    62     1    65 0.91 -
MEW6629127.1_lasso_peptide_biosynthesis_B2_protein_[Pseudomonadota_bacterium]                              -            213 Lasso_Fused_RRE      RREFam003     72   5.4e-13   45.4   0.0   1   1   2.2e-13   9.1e-13   44.7   0.0     3    66     1    61     1    65 0.90 -
WP_257817047.1_lasso_peptide_biosynthesis_B2_protein_[Phenylobacterium_sp._J367]                           -            213 Lasso_Fused_RRE      RREFam003     72   5.9e-13   45.3   0.4   1   1     6e-13   2.5e-12   43.3   0.0     4    35     1    32     1    63 0.84 -
WP_054729052.1_lasso_peptide_biosynthesis_B2_protein_[Sphingopyxis_macrogoltabida]                         -            214 Lasso_Fused_RRE      RREFam003     72   6.3e-13   45.2   0.0   1   1   6.2e-13   2.6e-12   43.2   0.0     6    67     1    60     1    64 0.93 -
WP_300880939.1_lasso_peptide_biosynthesis_B2_protein_[Blastomonas_sp.]                                     -            212 Lasso_Fused_RRE      RREFam003     72   6.5e-13   45.2   0.0   1   1   4.5e-13   1.9e-12   43.7   0.0     2    72     1    71     1    71 0.90 -
WP_062099660.1_lasso_peptide_biosynthesis_B2_protein_[Caulobacter_sp._CCH5-E12]                            -            215 Lasso_Fused_RRE      RREFam003     72   6.7e-13   45.1   0.1   1   1   1.6e-13   6.7e-13   45.1   0.1     2    67     1    65     1    67 0.80 -
WP_023462667.1_lasso_peptide_biosynthesis_B2_protein_[Asticcacaulis_sp._YBE204]                            -            213 Lasso_Fused_RRE      RREFam003     72   6.9e-13   45.1   0.1   1   1   9.8e-13   4.1e-12   42.6   0.1     4    71     3    68     1    69 0.88 -
WP_179407678.1_lasso_peptide_biosynthesis_B2_protein_[Novosphingobium_marinum]                             -            207 Lasso_Fused_RRE      RREFam003     72     7e-13   45.1   0.0   1   1   4.4e-13   1.8e-12   43.7   0.0    10    47    11    48     8    53 0.92 -
WP_150293281.1_lasso_peptide_biosynthesis_B2_protein_[Sphingobium_estronivorans]                           -            210 Lasso_Fused_RRE      RREFam003     72   7.5e-13   45.0   1.6   1   1   3.1e-13   1.3e-12   44.2   1.6     2    67     1    66     1    70 0.86 -
MBU0864620.1_lasso_peptide_biosynthesis_B2_protein_[Alphaproteobacteria_bacterium]                         -            208 Lasso_Fused_RRE      RREFam003     72   7.7e-13   44.9   0.2   1   1   4.5e-13   1.9e-12   43.7   0.0     1    66     1    63     1    67 0.84 -
WP_380376484.1_lasso_peptide_biosynthesis_B2_protein_[Klebsiella_aerogenes]                                -            205 Lasso_Fused_RRE      RREFam003     72   8.3e-13   44.8   0.0   1   1     3e-13   1.3e-12   44.2   0.0     3    67     1    56     1    59 0.94 -
WP_423304536.1_lasso_peptide_biosynthesis_B2_protein_[Caulobacter_sp._KR2-114]                             -            213 Lasso_Fused_RRE      RREFam003     72   9.1e-13   44.7   0.0   1   1   6.8e-13   2.8e-12   43.1   0.0     2    69     1    67     1    69 0.84 -
WP_331008480.1_lasso_peptide_biosynthesis_B2_protein_[Vitreimonas_sp.]                                     -            214 Lasso_Fused_RRE      RREFam003     72     1e-12   44.6   0.1   1   1   8.5e-13   3.6e-12   42.8   0.0     1    68     1    65     1    67 0.92 -
MFZ5667087.1_lasso_peptide_biosynthesis_B2_protein_[Pseudomonadota_bacterium]                              -            214 Lasso_Fused_RRE      RREFam003     72   1.2e-12   44.4   0.2   1   1   4.5e-13   1.9e-12   43.7   0.2     2    72     1    71     1    71 0.89 -
WP_023341728.1_MULTISPECIES_lasso_peptide_biosynthesis_B2_protein_[Klebsiella_pneumoniae_complex]          -            205 Lasso_Fused_RRE      RREFam003     72   1.3e-12   44.2   0.0   1   1     5e-13   2.1e-12   43.5   0.0     3    67     1    56     1    58 0.93 -
WP_326914645.1_lasso_peptide_biosynthesis_B2_protein_[Sphingopyxis_chilensis]                              -            213 Lasso_Fused_RRE      RREFam003     72   1.4e-12   44.1   0.4   1   1   1.1e-12   4.5e-12   42.5   0.0     2    67     1    63     1    67 0.90 -
WP_058799843.1_lasso_peptide_biosynthesis_B2_protein_[Sphingopyxis_sp._H085]                               -            210 Lasso_Fused_RRE      RREFam003     72   1.7e-12   43.8   0.1   1   1     9e-13   3.8e-12   42.7   0.1    16    70     2    54     1    56 0.90 -
WP_409611355.1_lasso_peptide_biosynthesis_B2_protein_[Brevundimonas_sp.]                                   -            207 Lasso_Fused_RRE      RREFam003     72   1.8e-12   43.8   0.1   1   1   8.1e-13   3.4e-12   42.9   0.1     3    71     3    70     1    71 0.88 -
WP_140851517.1_lasso_peptide_biosynthesis_B2_protein_[Sphingomonas_glacialis]                              -            214 Lasso_Fused_RRE      RREFam003     72   2.1e-12   43.5   0.0   1   1   1.1e-12   4.4e-12   42.5   0.0     3    69     1    64     1    67 0.91 -
WP_312119726.1_lasso_peptide_biosynthesis_B2_protein_[Brevundimonas_diminuta]                              -            212 Lasso_Fused_RRE      RREFam003     72   2.3e-12   43.4   0.2   1   1   1.3e-12   5.5e-12   42.2   0.2     4    67     3    64     1    67 0.83 -
WP_052130006.1_lasso_peptide_biosynthesis_B2_protein_[Sphingomonas_sp._35-24ZXX]                           -            214 Lasso_Fused_RRE      RREFam003     72   3.1e-12   43.0   0.9   1   1   1.2e-12   5.1e-12   42.3   0.2     2    67     1    66     1    69 0.93 -
MBZ6715786.1_lasso_peptide_biosynthesis_B2_protein_[Klebsiella_pneumoniae]                                 -            200 Lasso_Fused_RRE      RREFam003     72   3.1e-12   43.0   0.0   1   1   1.1e-12   4.7e-12   42.4   0.0     9    67     2    51     1    54 0.93 -
WP_129469866.1_lasso_peptide_biosynthesis_B2_protein_[Pseudoxanthomonas_composti]                          -            201 Lasso_Fused_RRE      RREFam003     72   3.3e-12   42.9   0.0   1   1   1.4e-12   5.8e-12   42.1   0.0     2    48     1    47     1    57 0.93 -
WP_313040029.1_lasso_peptide_biosynthesis_B2_protein_[Brevundimonas_diminuta]                              -            212 Lasso_Fused_RRE      RREFam003     72   3.5e-12   42.8   0.0   1   1   1.5e-12   6.1e-12   42.1   0.0     4    68     3    65     1    69 0.90 -
WP_341713070.1_lasso_peptide_biosynthesis_B2_protein_[Erythrobacter_sp.]                                   -            205 Lasso_Fused_RRE      RREFam003     72   3.5e-12   42.8   0.1   1   1   3.6e-12   1.5e-11   40.8   0.0     9    42     8    41     2    56 0.88 -
WP_157935777.1_MULTISPECIES_lasso_peptide_biosynthesis_B2_protein_[Tsuneonella]                            -            215 Lasso_Fused_RRE      RREFam003     72   3.5e-12   42.8   0.3   1   1   3.4e-12   1.4e-11   40.9   0.1     6    66     1    62     1    66 0.87 -
WP_046766257.1_MULTISPECIES_lasso_peptide_biosynthesis_B2_protein_[Sphingobium]                            -            210 Lasso_Fused_RRE      RREFam003     72   3.6e-12   42.8   0.3   1   1   1.6e-12   6.7e-12   41.9   0.3     2    67     1    66     1    69 0.89 -
